# 640/320, smic 6000 steps

#######

ENMD-core-t-inside cluster.run() call: 2015-10-02 21:42:59.342981
ENMD-core-timing-1: 5.105768
ENMD-appl-timing-0: 0.000421
ENMD-appl-timing-1: 0.002696
ENMD-core-t-before cluster.run() call: 2015-10-02 21:42:59.342782

#######

step,probe,timestamp

allocate,start_time,2015-10-02 17:42:54.244845
allocate,stop_time,2015-10-02 17:42:59.339712
deallocate,start_time,2015-10-02 19:46:32.738925
deallocate,stop_time,2015-10-02 19:46:56.483119

#######

Cycle; Step; Start; Stop; Duration
cycle_1; pp_step; 2015-10-02 23:29:46.165701; 2015-10-02 23:29:46.237313; 0.071612
cycle_1; pp_step_enmd_overhead; 2015-10-02 23:29:46.165701; 2015-10-02 23:29:46.237313; 0.071612
cycle_1; ex_step; 2015-10-02 23:29:33.587426; 2015-10-02 23:29:46.165604; 12.578178
cycle_1; ex_step_enmd_overhead; 2015-10-02 23:29:33.587426; 2015-10-02 23:29:33.591061; 0.003635
cycle_1; md_step; 2015-10-02 23:24:16.093035; 2015-10-02 23:29:33.583376; 317.490341
cycle_1; md_step_enmd_overhead; 2015-10-02 23:24:16.093035; 2015-10-02 23:24:18.924649; 2.831614
CU_ID; Scheduling; StagingInput; Allocating; Executing; StagingOutput; Done; Cycle; Step;
unit.000103; 2015-10-02 23:24:22.871000; 2015-10-02 23:24:44.140000; 2015-10-02 23:24:43.168000; 2015-10-02 23:24:43.214000; 2015-10-02 23:27:03.390000; 2015-10-02 23:27:03.413000; cycle_1; md_step
unit.000100; 2015-10-02 23:24:22.867000; 2015-10-02 23:24:43.931000; 2015-10-02 23:24:42.931000; 2015-10-02 23:24:42.957000; 2015-10-02 23:27:03.221000; 2015-10-02 23:27:03.249000; cycle_1; md_step
unit.000101; 2015-10-02 23:24:22.868000; 2015-10-02 23:24:44.012000; 2015-10-02 23:24:42.924000; 2015-10-02 23:24:42.948000; 2015-10-02 23:27:03.272000; 2015-10-02 23:27:03.296000; cycle_1; md_step
unit.000108; 2015-10-02 23:24:22.875000; 2015-10-02 23:24:44.491000; 2015-10-02 23:24:43.757000; 2015-10-02 23:24:43.780000; 2015-10-02 23:27:03.577000; 2015-10-02 23:27:03.600000; cycle_1; md_step
unit.000109; 2015-10-02 23:24:22.875000; 2015-10-02 23:24:44.651000; 2015-10-02 23:24:43.549000; 2015-10-02 23:24:43.574000; 2015-10-02 23:27:03.615000; 2015-10-02 23:27:03.640000; cycle_1; md_step
unit.000548; 2015-10-02 23:24:23.257000; 2015-10-02 23:24:45.736000; 2015-10-02 23:24:44.863000; 2015-10-02 23:24:44.887000; 2015-10-02 23:27:04.810000; 2015-10-02 23:27:04.844000; cycle_1; md_step
unit.000388; 2015-10-02 23:24:23.123000; 2015-10-02 23:24:56.995000; 2015-10-02 23:24:55.950000; 2015-10-02 23:27:03.374000; 2015-10-02 23:29:22.166000; 2015-10-02 23:29:22.188000; cycle_1; md_step
unit.000389; 2015-10-02 23:24:23.123000; 2015-10-02 23:24:51.517000; 2015-10-02 23:24:50.608000; 2015-10-02 23:26:57.474000; 2015-10-02 23:29:18.519000; 2015-10-02 23:29:18.548000; cycle_1; md_step
unit.000069; 2015-10-02 23:24:22.838000; 2015-10-02 23:24:47.378000; 2015-10-02 23:24:46.352000; 2015-10-02 23:24:46.387000; 2015-10-02 23:27:05.239000; 2015-10-02 23:27:05.261000; cycle_1; md_step
unit.000068; 2015-10-02 23:24:22.837000; 2015-10-02 23:24:46.766000; 2015-10-02 23:24:45.694000; 2015-10-02 23:24:45.729000; 2015-10-02 23:27:04.709000; 2015-10-02 23:27:04.738000; cycle_1; md_step
unit.000549; 2015-10-02 23:24:23.258000; 2015-10-02 23:24:44.191000; 2015-10-02 23:24:43.173000; 2015-10-02 23:24:43.214000; 2015-10-02 23:27:03.404000; 2015-10-02 23:27:03.427000; cycle_1; md_step
unit.000061; 2015-10-02 23:24:22.829000; 2015-10-02 23:24:39.294000; 2015-10-02 23:24:38.294000; 2015-10-02 23:24:38.314000; 2015-10-02 23:26:54.343000; 2015-10-02 23:26:54.367000; cycle_1; md_step
unit.000060; 2015-10-02 23:24:22.828000; 2015-10-02 23:24:39.225000; 2015-10-02 23:24:38.294000; 2015-10-02 23:24:38.307000; 2015-10-02 23:26:57.986000; 2015-10-02 23:26:58.014000; cycle_1; md_step
unit.000063; 2015-10-02 23:24:22.833000; 2015-10-02 23:24:39.663000; 2015-10-02 23:24:38.701000; 2015-10-02 23:24:38.715000; 2015-10-02 23:26:58.151000; 2015-10-02 23:26:58.176000; cycle_1; md_step
unit.000062; 2015-10-02 23:24:22.831000; 2015-10-02 23:24:39.361000; 2015-10-02 23:24:38.305000; 2015-10-02 23:24:38.323000; 2015-10-02 23:26:57.260000; 2015-10-02 23:26:57.306000; cycle_1; md_step
unit.000065; 2015-10-02 23:24:22.835000; 2015-10-02 23:24:39.852000; 2015-10-02 23:24:38.995000; 2015-10-02 23:24:39.020000; 2015-10-02 23:26:58.204000; 2015-10-02 23:26:58.229000; cycle_1; md_step
unit.000064; 2015-10-02 23:24:22.834000; 2015-10-02 23:24:39.791000; 2015-10-02 23:24:38.986000; 2015-10-02 23:24:39.006000; 2015-10-02 23:26:55.690000; 2015-10-02 23:26:55.733000; cycle_1; md_step
unit.000067; 2015-10-02 23:24:22.836000; 2015-10-02 23:24:40.008000; 2015-10-02 23:24:39.029000; 2015-10-02 23:24:39.038000; 2015-10-02 23:26:55.749000; 2015-10-02 23:26:55.788000; cycle_1; md_step
unit.000066; 2015-10-02 23:24:22.836000; 2015-10-02 23:24:39.949000; 2015-10-02 23:24:38.993000; 2015-10-02 23:24:39.009000; 2015-10-02 23:26:57.261000; 2015-10-02 23:26:57.308000; cycle_1; md_step
unit.000368; 2015-10-02 23:24:23.104000; 2015-10-02 23:24:44.345000; 2015-10-02 23:24:43.366000; 2015-10-02 23:24:43.392000; 2015-10-02 23:27:03.488000; 2015-10-02 23:27:03.515000; cycle_1; md_step
unit.000369; 2015-10-02 23:24:23.105000; 2015-10-02 23:24:45.121000; 2015-10-02 23:24:44.201000; 2015-10-02 23:24:44.229000; 2015-10-02 23:27:03.948000; 2015-10-02 23:27:03.968000; cycle_1; md_step
unit.000366; 2015-10-02 23:24:23.101000; 2015-10-02 23:24:43.383000; 2015-10-02 23:24:42.294000; 2015-10-02 23:24:42.329000; 2015-10-02 23:27:02.580000; 2015-10-02 23:27:02.618000; cycle_1; md_step
unit.000382; 2015-10-02 23:24:23.118000; 2015-10-02 23:24:51.770000; 2015-10-02 23:24:50.806000; 2015-10-02 23:26:57.681000; 2015-10-02 23:29:18.643000; 2015-10-02 23:29:18.669000; cycle_1; md_step
unit.000367; 2015-10-02 23:24:23.103000; 2015-10-02 23:24:43.849000; 2015-10-02 23:24:42.919000; 2015-10-02 23:24:42.960000; 2015-10-02 23:27:03.195000; 2015-10-02 23:27:03.222000; cycle_1; md_step
unit.000383; 2015-10-02 23:24:23.119000; 2015-10-02 23:24:56.408000; 2015-10-02 23:24:55.338000; 2015-10-02 23:27:03.082000; 2015-10-02 23:29:21.994000; 2015-10-02 23:29:22.025000; cycle_1; md_step
