
allocate,start_time,2015-11-20 12:14:52.933362
allocate,stop_time,2015-11-20 12:14:57.046165


Cycle; Step; Start; Stop; Duration
cycle_1; pp_step; 2015-11-20 22:09:52.188846; 2015-11-20 22:09:53.214908; 1.026062
cycle_1; pp_step_enmd_overhead; 2015-11-20 22:09:52.188846; 2015-11-20 22:09:53.214908; 1.026062
cycle_1; ex_step; 2015-11-20 22:09:29.952366; 2015-11-20 22:09:52.188766; 22.2364
cycle_1; ex_step_enmd_overhead; 2015-11-20 22:09:29.952366; 2015-11-20 22:09:29.956361; 0.003995
cycle_1; md_step; 2015-11-20 17:15:42.213394; 2015-11-20 22:09:29.939982; 17627.726588
cycle_1; md_step_enmd_overhead; 2015-11-20 17:15:42.213394; 2015-11-20 17:15:51.619099; 9.405705
CU_ID; Scheduling; StagingInput; Allocating; Executing; StagingOutput; Done; Cycle; Step;
unit.000662; 2015-11-20 17:16:08.786000; 2015-11-20 17:16:35.019000; 2015-11-20 17:16:35.338000; 2015-11-20 17:43:54.249000; 2015-11-20 17:46:10.482000; 2015-11-20 17:46:10.526000; cycle_1; md_step
unit.000661; 2015-11-20 17:16:08.785000; 2015-11-20 17:16:34.969000; 2015-11-20 17:16:35.336000; 2015-11-20 17:43:53.488000; 2015-11-20 17:46:09.305000; 2015-11-20 17:46:09.394000; cycle_1; md_step
unit.000660; 2015-11-20 17:16:08.784000; 2015-11-20 17:16:34.165000; 2015-11-20 17:16:34.556000; 2015-11-20 17:43:47.346000; 2015-11-20 17:46:03.793000; 2015-11-20 17:46:03.809000; cycle_1; md_step
unit.000069; 2015-11-20 17:16:08.283000; 2015-11-20 17:16:41.252000; 2015-11-20 17:16:41.501000; 2015-11-20 17:59:39.858000; 2015-11-20 18:01:56.243000; 2015-11-20 18:01:56.319000; cycle_1; md_step
unit.000068; 2015-11-20 17:16:08.283000; 2015-11-20 17:18:26.437000; 2015-11-20 17:18:26.710000; 2015-11-20 21:50:38.090000; 2015-11-20 21:52:54.648000; 2015-11-20 21:52:54.716000; cycle_1; md_step
unit.000061; 2015-11-20 17:16:08.278000; 2015-11-20 17:16:31.542000; 2015-11-20 17:16:31.963000; 2015-11-20 17:36:57.988000; 2015-11-20 17:39:14.150000; 2015-11-20 17:39:14.192000; cycle_1; md_step
unit.000060; 2015-11-20 17:16:08.277000; 2015-11-20 17:16:31.345000; 2015-11-20 17:16:31.715000; 2015-11-20 17:36:57.576000; 2015-11-20 17:39:14.094000; 2015-11-20 17:39:14.107000; cycle_1; md_step
unit.000063; 2015-11-20 17:16:08.279000; 2015-11-20 17:16:32.115000; 2015-11-20 17:16:32.485000; 2015-11-20 17:39:09.577000; 2015-11-20 17:41:26.478000; 2015-11-20 17:41:26.562000; cycle_1; md_step
unit.000062; 2015-11-20 17:16:08.279000; 2015-11-20 17:16:31.801000; 2015-11-20 17:16:32.202000; 2015-11-20 17:37:01.864000; 2015-11-20 17:39:18.383000; 2015-11-20 17:39:18.395000; cycle_1; md_step
unit.000065; 2015-11-20 17:16:08.281000; 2015-11-20 17:16:32.204000; 2015-11-20 17:16:32.489000; 2015-11-20 17:39:11.181000; 2015-11-20 17:41:26.646000; 2015-11-20 17:41:27.035000; cycle_1; md_step
unit.000064; 2015-11-20 17:16:08.280000; 2015-11-20 17:16:32.184000; 2015-11-20 17:16:32.488000; 2015-11-20 17:39:10.232000; 2015-11-20 17:41:28.088000; 2015-11-20 17:41:28.100000; cycle_1; md_step
