Cycle; Step; Start; Stop; Duration
cycle_1; pp_step; 2015-11-06 12:28:59.094417; 2015-11-06 12:28:59.094428; 1.1e-05
cycle_1; pp_step_enmd_overhead; 2015-11-06 12:28:59.094417; 2015-11-06 12:28:59.094428; 1.1e-05
cycle_1; ex_step; 2015-11-06 12:27:52.901945; 2015-11-06 12:28:59.093850; 66.191905
cycle_1; ex_step_enmd_overhead; 2015-11-06 12:27:52.901945; 2015-11-06 12:27:53.513294; 0.611349
cycle_1; md_step; 2015-11-06 12:26:22.206271; 2015-11-06 12:27:52.901421; 90.69515
cycle_1; md_step_enmd_overhead; 2015-11-06 12:26:22.206271; 2015-11-06 12:26:22.897310; 0.691039
CU_ID; Scheduling; StagingInput; Allocating; Executing; AgentStagingOutputPending; Done; Cycle; Step;
unit.000155; 1446812874.49; 1446812928.85; 1446812930.65; 1446812930.85; 1446812932.7; 1446812937.51; cycle_1; ex_step
unit.000154; 1446812874.49; 1446812928.79; 1446812930.45; 1446812930.65; 1446812932.5; 1446812937.5; cycle_1; ex_step
unit.000157; 1446812874.49; 1446812929.87; 1446812931.45; 1446812931.65; 1446812933.4; 1446812938.6; cycle_1; ex_step
unit.000156; 1446812874.49; 1446812929.85; 1446812931.76; 1446812931.96; 1446812933.8; 1446812938.6; cycle_1; ex_step
unit.000009; 1446812783.75; 1446812784.86; 1446812804.2; 1446812804.35; 1446812804.93; 1446812854.04; cycle_1; md_step
unit.000008; 1446812783.75; 1446812784.83; 1446812796.83; 1446812797.03; 1446812797.68; 1446812825.13; cycle_1; md_step
unit.000007; 1446812783.75; 1446812784.82; 1446812795.2; 1446812795.4; 1446812795.97; 1446812818.71; cycle_1; md_step
unit.000006; 1446812783.75; 1446812784.82; 1446812793.58; 1446812793.78; 1446812794.36; 1446812812.63; cycle_1; md_step
unit.000005; 1446812783.75; 1446812784.81; 1446812791.96; 1446812792.16; 1446812792.75; 1446812806.54; cycle_1; md_step
unit.000004; 1446812783.74; 1446812784.86; 1446812802.72; 1446812802.92; 1446812803.52; 1446812848.06; cycle_1; md_step
unit.000003; 1446812783.74; 1446812784.88; 1446812808.62; 1446812808.82; 1446812809.46; 1446812871.96; cycle_1; md_step
unit.000002; 1446812783.74; 1446812784.86; 1446812802.52; 1446812802.72; 1446812803.32; 1446812847.32; cycle_1; md_step
unit.000001; 1446812783.74; 1446812784.85; 1446812802.18; 1446812802.31; 1446812802.92; 1446812845.74; cycle_1; md_step
unit.000000; 1446812783.74; 1446812784.85; 1446812801.7; 1446812801.9; 1446812802.52; 1446812844.13; cycle_1; md_step
unit.000087; 1446812783.87; 1446812784.87; 1446812806.58; 1446812806.78; 1446812807.35; 1446812864.16; cycle_1; md_step
unit.000086; 1446812783.87; 1446812784.86; 1446812804.55; 1446812804.75; 1446812805.33; 1446812855.62; cycle_1; md_step
unit.000085; 1446812783.87; 1446812784.86; 1446812802.92; 1446812803.2; 1446812803.72; 1446812848.91; cycle_1; md_step
unit.000084; 1446812783.87; 1446812784.88; 1446812807.6; 1446812807.8; 1446812808.45; 1446812868.68; cycle_1; md_step
unit.000083; 1446812783.87; 1446812784.83; 1446812797.44; 1446812797.64; 1446812798.28; 1446812828.15; cycle_1; md_step
unit.000082; 1446812783.87; 1446812784.83; 1446812795.81; 1446812796.01; 1446812796.67; 1446812821.56; cycle_1; md_step
unit.000081; 1446812783.86; 1446812784.82; 1446812794.19; 1446812794.39; 1446812795.12; 1446812814.71; cycle_1; md_step
unit.000080; 1446812783.86; 1446812784.87; 1446812806.38; 1446812806.58; 1446812807.27; 1446812863.31; cycle_1; md_step
unit.000089; 1446812783.88; 1446812784.81; 1446812790.73; 1446812790.93; 1446812791.54; 1446812801.51; cycle_1; md_step
unit.000088; 1446812783.88; 1446812784.84; 1446812797.84; 1446812798.12; 1446812798.69; 1446812829.79; cycle_1; md_step
unit.000078; 1446812783.86; 1446812784.87; 1446812805.36; 1446812805.56; 1446812806.14; 1446812858.97; cycle_1; md_step
unit.000079; 1446812783.86; 1446812784.87; 1446812805.97; 1446812806.22; 1446812806.84; 1446812861.37; cycle_1; md_step
unit.000072; 1446812783.85; 1446812784.86; 1446812803.74; 1446812803.94; 1446812804.53; 1446812852.46; cycle_1; md_step
unit.000073; 1446812783.85; 1446812784.84; 1446812799.47; 1446812799.67; 1446812800.3; 1446812835.88; cycle_1; md_step
unit.000070; 1446812783.85; 1446812784.86; 1446812803.33; 1446812803.53; 1446812804.13; 1446812850.88; cycle_1; md_step
unit.000071; 1446812783.85; 1446812784.86; 1446812803.53; 1446812803.74; 1446812804.33; 1446812851.08; cycle_1; md_step
unit.000076; 1446812783.86; 1446812784.87; 1446812805.57; 1446812805.77; 1446812806.34; 1446812859.06; cycle_1; md_step
unit.000077; 1446812783.86; 1446812784.87; 1446812805.21; 1446812805.36; 1446812805.94; 1446812857.19; cycle_1; md_step
unit.000074; 1446812783.85; 1446812784.86; 1446812804.35; 1446812804.55; 1446812805.13; 1446812854.1; cycle_1; md_step
unit.000075; 1446812783.86; 1446812784.86; 1446812803.94; 1446812804.2; 1446812804.73; 1446812852.59; cycle_1; md_step
unit.000069; 1446812783.85; 1446812784.86; 1446812803.2; 1446812803.33; 1446812803.92; 1446812849.57; cycle_1; md_step
unit.000068; 1446812783.85; 1446812784.8; 1446812790.32; 1446812790.53; 1446812791.14; 1446812799.95; cycle_1; md_step
unit.000061; 1446812783.83; 1446812784.85; 1446812799.88; 1446812800.15; 1446812800.7; 1446812837.39; cycle_1; md_step
unit.000060; 1446812783.83; 1446812784.84; 1446812799.26; 1446812799.47; 1446812800.16; 1446812834.62; cycle_1; md_step
unit.000063; 1446812783.84; 1446812784.85; 1446812800.89; 1446812801.09; 1446812801.71; 1446812840.95; cycle_1; md_step
unit.000062; 1446812783.84; 1446812784.84; 1446812798.25; 1446812798.45; 1446812799.14; 1446812831.33; cycle_1; md_step
unit.000065; 1446812783.84; 1446812784.85; 1446812801.5; 1446812801.7; 1446812802.31; 1446812843.48; cycle_1; md_step
unit.000064; 1446812783.84; 1446812784.85; 1446812801.29; 1446812801.5; 1446812802.19; 1446812842.53; cycle_1; md_step
