uid, iter, step, Scheduling, StagingInput, Allocating, Executing, AgentStagingOutputPending, Done
unit.000097, 1, sim, 1446639033.66, 1446639034.59, 1446639051.07, 1446639051.28, 1446639082.78, 1446639085.28
unit.000098, 1, sim, 1446639033.67, 1446639034.65, 1446639055.05, 1446639055.31, 1446639094.31, 1446639096.36
unit.000099, 1, sim, 1446639033.67, 1446639034.71, 1446639058.7, 1446639058.91, 1446639103.77, 1446639106.42
unit.000100, 1, sim, 1446639033.67, 1446639034.75, 1446639061.9, 1446639062.11, 1446639083.99, 1446639087.31
unit.000101, 1, sim, 1446639033.67, 1446639034.79, 1446639066.48, 1446639066.76, 1446639101.45, 1446639102.39
unit.000102, 1, sim, 1446639033.67, 1446639034.83, 1446639069.9, 1446639070.06, 1446639108.32, 1446639115.54
unit.000103, 1, sim, 1446639033.67, 1446639034.89, 1446639073.63, 1446639073.83, 1446639109.84, 1446639118.57
unit.000104, 1, sim, 1446639033.68, 1446639034.39, 1446639038.16, 1446639038.36, 1446639069.41, 1446639070.12
unit.000105, 1, sim, 1446639033.68, 1446639034.38, 1446639035.96, 1446639036.16, 1446639063.85, 1446639065.08
unit.000106, 1, sim, 1446639033.68, 1446639034.39, 1446639036.61, 1446639036.81, 1446639064.76, 1446639066.09
unit.000107, 1, sim, 1446639033.68, 1446639034.39, 1446639037.23, 1446639038.06, 1446639069.52, 1446639071.13
unit.000108, 1, sim, 1446639033.68, 1446639034.4, 1446639038.57, 1446639038.78, 1446639071.13, 1446639072.13
unit.000109, 1, sim, 1446639033.68, 1446639034.41, 1446639039.4, 1446639039.6, 1446639072.15, 1446639073.15
unit.000110, 1, sim, 1446639033.69, 1446639034.44, 1446639040.07, 1446639040.22, 1446639073.77, 1446639075.17
unit.000111, 1, sim, 1446639033.69, 1446639034.45, 1446639040.43, 1446639040.63, 1446639073.57, 1446639075.17
unit.000112, 1, sim, 1446639033.69, 1446639034.75, 1446639061.7, 1446639061.9, 1446639107.01, 1446639112.51
unit.000113, 1, sim, 1446639033.69, 1446639034.72, 1446639059.57, 1446639059.77, 1446639103.97, 1446639106.43
unit.000114, 1, sim, 1446639033.69, 1446639034.46, 1446639041.71, 1446639041.91, 1446639066.58, 1446639068.11
unit.000115, 1, sim, 1446639033.69, 1446639034.48, 1446639042.95, 1446639043.19, 1446639075.06, 1446639076.18
unit.000116, 1, sim, 1446639033.7, 1446639034.49, 1446639043.56, 1446639043.77, 1446639077.62, 1446639079.21
unit.000117, 1, sim, 1446639033.7, 1446639034.49, 1446639044.2, 1446639044.39, 1446639078.03, 1446639079.21
