uid, iter, step, Scheduling, StagingInput, Allocating, Executing, AgentStagingOutputPending, Done
unit.000130, 1, sim, 1446762860.38, 1446762862.6, 1446763126.09, 1446763233.4, 1446763252.82, 1446763267.26
unit.000131, 1, sim, 1446762860.38, 1446762862.6, 1446763132.4, 1446763245.82, 1446763253.32, 1446763268.01
unit.000132, 1, sim, 1446762860.39, 1446762862.6, 1446763134.44, 1446763252.87, 1446763255.83, 1446763269.5
unit.000133, 1, sim, 1446762860.39, 1446762862.61, 1446763136.36, 1446763253.21, 1446763265.65, 1446763272.42
unit.000134, 1, sim, 1446762860.39, 1446762862.61, 1446763145.19, 1446763265.44, 1446763266.56, 1446763275.91
unit.000135, 1, sim, 1446762860.39, 1446762862.61, 1446763147.45, 1446763265.79, 1446763267.86, 1446763278.31
unit.000136, 1, sim, 1446762860.39, 1446762862.62, 1446763148.69, 1446763266.53, 1446763268.16, 1446763279.79
unit.000137, 1, sim, 1446762860.4, 1446762862.5, 1446762901.89, 1446762928.72, 1446762954.95, 1446763014.41
unit.000138, 1, sim, 1446762860.4, 1446762862.67, 1446763224.19, 1446763350.51, 1446763357.85, 1446763368.17
unit.000139, 1, sim, 1446762860.4, 1446762862.56, 1446763060.74, 1446763183.9, 1446763187.75, 1446763218.78
unit.000140, 1, sim, 1446762860.4, 1446762862.52, 1446762953.35, 1446763049.38, 1446763060.71, 1446763136.43
unit.000141, 1, sim, 1446762860.4, 1446762862.62, 1446763150.69, 1446763268.22, 1446763272.18, 1446763285.02
unit.000142, 1, sim, 1446762860.4, 1446762862.63, 1446763155.37, 1446763272.33, 1446763272.99, 1446763288.24
unit.000143, 1, sim, 1446762860.41, 1446762862.63, 1446763170.38, 1446763274.12, 1446763282.84, 1446763292.43
unit.000144, 1, sim, 1446762860.41, 1446762862.64, 1446763178.44, 1446763282.44, 1446763284.64, 1446763296.73
unit.000145, 1, sim, 1446762860.41, 1446762862.64, 1446763184.13, 1446763284.86, 1446763304.64, 1446763327.68
unit.000146, 1, sim, 1446762860.41, 1446762862.66, 1446763208.21, 1446763325.13, 1446763334.76, 1446763351.06
unit.000147, 1, sim, 1446762860.41, 1446762862.67, 1446763229.3, 1446763357.47, 1446763358.15, 1446763369.56
unit.000148, 1, sim, 1446762860.42, 1446762862.47, 1446762863.89, 1446762864.09, 1446762901.72, 1446762916.28
unit.000149, 1, sim, 1446762860.42, 1446762862.51, 1446762913.92, 1446762954.7, 1446762972.49, 1446763039.98
