CU_ID; Scheduling; StagingInput; Allocating; Executing; AgentStagingOutputPending; Done; Cycle; Step;
unit.000226; 1446814240.23; 1446814264.67; 1446814266.31; 1446814266.51; 1446814268.34; 1446814272.38; cycle_1; ex_step
unit.000225; 1446814240.22; 1446814263.76; 1446814265.48; 1446814265.68; 1446814267.53; 1446814272.31; cycle_1; ex_step
unit.000224; 1446814240.22; 1446814263.59; 1446814265.17; 1446814265.37; 1446814267.23; 1446814271.29; cycle_1; ex_step
unit.000223; 1446814240.22; 1446814262.24; 1446814264.02; 1446814264.22; 1446814266.08; 1446814270.2; cycle_1; ex_step
unit.000222; 1446814240.22; 1446814262.24; 1446814264.34; 1446814264.54; 1446814266.33; 1446814271.22; cycle_1; ex_step
unit.000221; 1446814240.22; 1446814261.2; 1446814262.96; 1446814263.16; 1446814265.02; 1446814270.13; cycle_1; ex_step
unit.000220; 1446814240.22; 1446814261.0; 1446814262.75; 1446814262.95; 1446814264.82; 1446814269.09; cycle_1; ex_step
unit.000338; 1446814240.41; 1446814325.92; 1446814328.41; 1446814328.61; 1446814330.47; 1446814335.66; cycle_1; ex_step
unit.000369; 1446814240.46; 1446814344.28; 1446814345.95; 1446814346.15; 1446814348.04; 1446814353.36; cycle_1; ex_step
unit.000380; 1446814240.48; 1446814350.13; 1446814351.89; 1446814352.1; 1446814353.96; 1446814358.92; cycle_1; ex_step
unit.000381; 1446814240.48; 1446814350.49; 1446814352.21; 1446814352.41; 1446814354.26; 1446814360.01; cycle_1; ex_step
unit.000229; 1446814240.23; 1446814265.91; 1446814267.76; 1446814267.96; 1446814269.84; 1446814274.51; cycle_1; ex_step
unit.000228; 1446814240.23; 1446814265.73; 1446814267.45; 1446814267.65; 1446814269.54; 1446814273.49; cycle_1; ex_step
unit.000366; 1446814240.45; 1446814342.24; 1446814343.97; 1446814344.17; 1446814346.03; 1446814351.17; cycle_1; ex_step
unit.000379; 1446814240.47; 1446814349.48; 1446814351.06; 1446814351.26; 1446814353.16; 1446814358.91; cycle_1; ex_step
unit.000382; 1446814240.48; 1446814351.25; 1446814352.87; 1446814353.07; 1446814354.86; 1446814360.01; cycle_1; ex_step
unit.000367; 1446814240.45; 1446814343.12; 1446814345.12; 1446814345.32; 1446814347.14; 1446814352.27; cycle_1; ex_step
unit.000383; 1446814240.48; 1446814351.49; 1446814353.19; 1446814353.39; 1446814355.17; 1446814361.09; cycle_1; ex_step
unit.000328; 1446814240.39; 1446814319.94; 1446814321.55; 1446814321.75; 1446814323.55; 1446814330.01; cycle_1; ex_step
unit.000329; 1446814240.39; 1446814320.19; 1446814321.92; 1446814322.07; 1446814323.85; 1446814331.06; cycle_1; ex_step
unit.000199; 1446814240.18; 1446814246.1; 1446814248.6; 1446814248.8; 1446814250.57; 1446814257.56; cycle_1; ex_step
unit.000198; 1446814240.18; 1446814246.0; 1446814248.46; 1446814248.59; 1446814250.47; 1446814256.5; cycle_1; ex_step
unit.000318; 1446814240.37; 1446814314.56; 1446814316.27; 1446814316.47; 1446814318.33; 1446814323.91; cycle_1; ex_step
unit.000195; 1446814240.18; 1446814244.11; 1446814245.78; 1446814245.98; 1446814248.57; 1446814255.4; cycle_1; ex_step
unit.000194; 1446814240.17; 1446814243.93; 1446814245.46; 1446814245.66; 1446814248.47; 1446814254.34; cycle_1; ex_step
unit.000197; 1446814240.18; 1446814245.11; 1446814246.81; 1446814247.22; 1446814250.27; 1446814256.48; cycle_1; ex_step
unit.000196; 1446814240.18; 1446814244.93; 1446814246.6; 1446814246.81; 1446814249.87; 1446814255.42; cycle_1; ex_step
unit.000193; 1446814240.17; 1446814241.99; 1446814244.73; 1446814244.94; 1446814246.78; 1446814254.31; cycle_1; ex_step
unit.000192; 1446814240.17; 1446814241.98; 1446814244.53; 1446814244.73; 1446814246.58; 1446814253.24; cycle_1; ex_step
unit.000304; 1446814240.35; 1446814306.95; 1446814308.71; 1446814308.91; 1446814310.7; 1446814315.65; cycle_1; ex_step
unit.000305; 1446814240.35; 1446814307.94; 1446814309.69; 1446814309.82; 1446814311.72; 1446814316.73; cycle_1; ex_step
unit.000306; 1446814240.35; 1446814308.02; 1446814309.81; 1446814310.02; 1446814311.91; 1446814316.74; cycle_1; ex_step
unit.000307; 1446814240.36; 1446814308.97; 1446814310.69; 1446814310.82; 1446814312.78; 1446814317.84; cycle_1; ex_step
unit.000300; 1446814240.34; 1446814304.92; 1446814306.67; 1446814306.87; 1446814308.69; 1446814313.38; cycle_1; ex_step
unit.000301; 1446814240.35; 1446814305.85; 1446814307.58; 1446814307.78; 1446814309.7; 1446814314.48; cycle_1; ex_step
unit.000302; 1446814240.35; 1446814305.92; 1446814307.78; 1446814307.98; 1446814309.9; 1446814314.48; cycle_1; ex_step
unit.000303; 1446814240.35; 1446814306.92; 1446814308.51; 1446814308.71; 1446814310.6; 1446814315.64; cycle_1; ex_step
unit.000308; 1446814240.36; 1446814309.11; 1446814310.82; 1446814311.02; 1446814312.91; 1446814317.84; cycle_1; ex_step
unit.000309; 1446814240.36; 1446814309.98; 1446814311.55; 1446814311.75; 1446814313.61; 1446814318.93; cycle_1; ex_step
unit.000368; 1446814240.45; 1446814343.28; 1446814344.8; 1446814345.01; 1446814346.88; 1446814352.28; cycle_1; ex_step
unit.000319; 1446814240.38; 1446814315.11; 1446814316.8; 1446814316.96; 1446814318.73; 1446814325.01; cycle_1; ex_step
unit.000252; 1446814240.27; 1446814278.38; 1446814280.03; 1446814280.23; 1446814282.09; 1446814286.76; cycle_1; ex_step
unit.000253; 1446814240.27; 1446814279.2; 1446814280.86; 1446814281.07; 1446814282.99; 1446814287.73; cycle_1; ex_step
unit.000250; 1446814240.26; 1446814277.37; 1446814278.99; 1446814279.19; 1446814281.09; 1446814285.6; cycle_1; ex_step
unit.000251; 1446814240.27; 1446814278.11; 1446814279.72; 1446814279.92; 1446814281.79; 1446814286.65; cycle_1; ex_step
unit.000256; 1446814240.27; 1446814280.43; 1446814282.17; 1446814282.37; 1446814284.3; 1446814288.94; cycle_1; ex_step
unit.000257; 1446814240.28; 1446814281.33; 1446814282.89; 1446814283.1; 1446814285.0; 1446814289.93; cycle_1; ex_step
unit.000254; 1446814240.27; 1446814279.4; 1446814281.06; 1446814281.27; 1446814283.19; 1446814287.85; cycle_1; ex_step
unit.000255; 1446814240.27; 1446814280.26; 1446814281.97; 1446814282.17; 1446814284.1; 1446814288.83; cycle_1; ex_step
unit.000313; 1446814240.37; 1446814312.02; 1446814313.66; 1446814313.87; 1446814315.72; 1446814321.11; cycle_1; ex_step
unit.000312; 1446814240.36; 1446814311.25; 1446814313.01; 1446814313.21; 1446814315.02; 1446814320.02; cycle_1; ex_step
unit.000258; 1446814240.28; 1446814281.43; 1446814283.1; 1446814283.3; 1446814285.1; 1446814290.05; cycle_1; ex_step
unit.000259; 1446814240.28; 1446814282.39; 1446814284.0; 1446814284.2; 1446814286.11; 1446814291.05; cycle_1; ex_step
unit.000317; 1446814240.37; 1446814314.09; 1446814315.61; 1446814315.81; 1446814317.73; 1446814323.91; cycle_1; ex_step
unit.000316; 1446814240.37; 1446814313.47; 1446814315.12; 1446814315.32; 1446814317.13; 1446814322.5; cycle_1; ex_step
unit.000315; 1446814240.37; 1446814313.07; 1446814314.64; 1446814314.84; 1446814316.72; 1446814322.49; cycle_1; ex_step
unit.000314; 1446814240.37; 1446814312.37; 1446814313.98; 1446814314.18; 1446814316.02; 1446814321.11; cycle_1; ex_step
unit.000311; 1446814240.36; 1446814310.99; 1446814312.52; 1446814312.78; 1446814314.62; 1446814320.02; cycle_1; ex_step
unit.000310; 1446814240.36; 1446814310.18; 1446814311.86; 1446814312.06; 1446814313.91; 1446814318.93; cycle_1; ex_step
unit.000241; 1446814240.25; 1446814272.57; 1446814274.28; 1446814274.48; 1446814276.37; 1446814281.08; cycle_1; ex_step
unit.000240; 1446814240.25; 1446814272.24; 1446814273.79; 1446814273.99; 1446814275.86; 1446814280.06; cycle_1; ex_step
unit.000243; 1446814240.25; 1446814273.65; 1446814275.44; 1446814275.62; 1446814277.51; 1446814282.18; cycle_1; ex_step
unit.000242; 1446814240.25; 1446814273.24; 1446814274.76; 1446814274.96; 1446814276.77; 1446814281.15; cycle_1; ex_step
unit.000245; 1446814240.26; 1446814274.77; 1446814276.44; 1446814276.59; 1446814278.78; 1446814283.28; cycle_1; ex_step
unit.000244; 1446814240.25; 1446814274.24; 1446814275.9; 1446814276.11; 1446814277.97; 1446814282.25; cycle_1; ex_step
unit.000247; 1446814240.26; 1446814275.84; 1446814277.53; 1446814277.74; 1446814279.68; 1446814284.39; cycle_1; ex_step
unit.000246; 1446814240.26; 1446814275.27; 1446814276.88; 1446814277.08; 1446814278.98; 1446814283.35; cycle_1; ex_step
unit.000249; 1446814240.26; 1446814277.0; 1446814278.68; 1446814278.88; 1446814280.69; 1446814285.48; cycle_1; ex_step
unit.000248; 1446814240.26; 1446814276.28; 1446814278.02; 1446814278.22; 1446814280.08; 1446814284.49; cycle_1; ex_step
unit.000364; 1446814240.45; 1446814341.25; 1446814342.82; 1446814343.03; 1446814344.93; 1446814350.05; cycle_1; ex_step
unit.000365; 1446814240.45; 1446814341.83; 1446814343.65; 1446814343.86; 1446814345.63; 1446814351.17; cycle_1; ex_step
unit.000362; 1446814240.45; 1446814340.24; 1446814341.85; 1446814342.05; 1446814343.92; 1446814348.96; cycle_1; ex_step
unit.000363; 1446814240.45; 1446814340.59; 1446814342.34; 1446814342.54; 1446814344.33; 1446814350.05; cycle_1; ex_step
unit.000360; 1446814240.44; 1446814339.14; 1446814340.87; 1446814341.08; 1446814342.92; 1446814347.77; cycle_1; ex_step
unit.000361; 1446814240.44; 1446814339.31; 1446814341.19; 1446814341.39; 1446814343.22; 1446814348.95; cycle_1; ex_step
unit.000274; 1446814240.3; 1446814290.05; 1446814291.97; 1446814292.17; 1446814294.74; 1446814299.07; cycle_1; ex_step
unit.000275; 1446814240.3; 1446814290.59; 1446814292.29; 1446814292.49; 1446814295.64; 1446814300.15; cycle_1; ex_step
unit.000276; 1446814240.31; 1446814291.33; 1446814293.07; 1446814293.27; 1446814296.54; 1446814300.16; cycle_1; ex_step
unit.000277; 1446814240.31; 1446814291.6; 1446814293.27; 1446814294.72; 1446814296.65; 1446814301.25; cycle_1; ex_step
unit.000270; 1446814240.3; 1446814287.91; 1446814289.6; 1446814289.81; 1446814291.63; 1446814296.76; cycle_1; ex_step
unit.000271; 1446814240.3; 1446814288.56; 1446814290.16; 1446814290.36; 1446814292.24; 1446814297.95; cycle_1; ex_step
unit.000272; 1446814240.3; 1446814288.97; 1446814290.65; 1446814290.85; 1446814292.73; 1446814297.95; cycle_1; ex_step
unit.000273; 1446814240.3; 1446814289.57; 1446814291.13; 1446814291.33; 1446814293.74; 1446814299.07; cycle_1; ex_step
unit.000375; 1446814240.47; 1446814347.4; 1446814349.04; 1446814349.24; 1446814351.15; 1446814356.72; cycle_1; ex_step
unit.000374; 1446814240.46; 1446814346.84; 1446814348.55; 1446814348.75; 1446814350.65; 1446814355.63; cycle_1; ex_step
unit.000377; 1446814240.47; 1446814348.48; 1446814350.02; 1446814350.22; 1446814352.05; 1446814357.81; cycle_1; ex_step
unit.000376; 1446814240.47; 1446814347.97; 1446814349.7; 1446814349.9; 1446814351.75; 1446814356.72; cycle_1; ex_step
unit.000278; 1446814240.31; 1446814292.41; 1446814294.82; 1446814295.02; 1446814297.05; 1446814301.24; cycle_1; ex_step
unit.000279; 1446814240.31; 1446814292.6; 1446814295.02; 1446814295.22; 1446814297.15; 1446814302.33; cycle_1; ex_step
unit.000373; 1446814240.46; 1446814346.39; 1446814347.95; 1446814348.1; 1446814349.95; 1446814355.63; cycle_1; ex_step
unit.000372; 1446814240.46; 1446814345.77; 1446814347.41; 1446814347.61; 1446814349.44; 1446814354.52; cycle_1; ex_step
unit.000340; 1446814240.41; 1446814327.75; 1446814329.39; 1446814329.59; 1446814331.48; 1446814336.75; cycle_1; ex_step
unit.000341; 1446814240.41; 1446814328.35; 1446814330.05; 1446814330.25; 1446814332.08; 1446814337.79; cycle_1; ex_step
unit.000342; 1446814240.41; 1446814328.76; 1446814330.36; 1446814330.56; 1446814332.38; 1446814337.86; cycle_1; ex_step
unit.000343; 1446814240.42; 1446814329.46; 1446814331.02; 1446814331.25; 1446814333.08; 1446814338.95; cycle_1; ex_step
unit.000344; 1446814240.42; 1446814329.86; 1446814331.51; 1446814331.71; 1446814333.59; 1446814338.95; cycle_1; ex_step
unit.000345; 1446814240.42; 1446814330.52; 1446814332.34; 1446814332.54; 1446814334.39; 1446814340.05; cycle_1; ex_step
unit.000346; 1446814240.42; 1446814330.94; 1446814332.65; 1446814332.86; 1446814334.69; 1446814340.05; cycle_1; ex_step
unit.000347; 1446814240.42; 1446814331.76; 1446814333.66; 1446814333.86; 1446814335.69; 1446814341.15; cycle_1; ex_step
unit.000348; 1446814240.42; 1446814332.04; 1446814333.86; 1446814334.06; 1446814335.89; 1446814341.15; cycle_1; ex_step
unit.000349; 1446814240.42; 1446814333.04; 1446814334.9; 1446814335.1; 1446814337.0; 1446814342.25; cycle_1; ex_step
unit.000269; 1446814240.3; 1446814287.57; 1446814289.12; 1446814289.32; 1446814291.23; 1446814296.76; cycle_1; ex_step
unit.000268; 1446814240.29; 1446814286.84; 1446814288.46; 1446814288.66; 1446814290.52; 1446814295.67; cycle_1; ex_step
unit.000263; 1446814240.29; 1446814284.46; 1446814286.03; 1446814286.23; 1446814288.02; 1446814293.24; cycle_1; ex_step
unit.000262; 1446814240.28; 1446814283.57; 1446814285.3; 1446814285.5; 1446814287.41; 1446814292.24; cycle_1; ex_step
unit.000261; 1446814240.28; 1446814283.44; 1446814285.1; 1446814285.3; 1446814287.21; 1446814292.14; cycle_1; ex_step
unit.000260; 1446814240.28; 1446814282.43; 1446814284.2; 1446814284.4; 1446814286.21; 1446814291.14; cycle_1; ex_step
unit.000267; 1446814240.29; 1446814286.57; 1446814288.15; 1446814288.35; 1446814290.22; 1446814295.66; cycle_1; ex_step
unit.000266; 1446814240.29; 1446814285.71; 1446814287.49; 1446814287.69; 1446814289.52; 1446814294.45; cycle_1; ex_step
unit.000265; 1446814240.29; 1446814285.51; 1446814287.17; 1446814287.37; 1446814289.22; 1446814294.32; cycle_1; ex_step
unit.000264; 1446814240.29; 1446814284.65; 1446814286.34; 1446814286.54; 1446814288.42; 1446814293.33; cycle_1; ex_step
unit.000128; 1446814075.89; 1446814077.19; 1446814084.31; 1446814084.74; 1446814085.37; 1446814109.34; cycle_1; md_step
unit.000009; 1446814075.7; 1446814077.27; 1446814096.59; 1446814096.85; 1446814097.38; 1446814155.31; cycle_1; md_step
unit.000008; 1446814075.7; 1446814077.26; 1446814094.55; 1446814094.76; 1446814095.37; 1446814147.37; cycle_1; md_step
unit.000007; 1446814075.7; 1446814077.22; 1446814089.49; 1446814089.69; 1446814090.3; 1446814127.69; cycle_1; md_step
unit.000006; 1446814075.7; 1446814077.17; 1446814081.33; 1446814081.53; 1446814082.18; 1446814098.66; cycle_1; md_step
unit.000005; 1446814075.7; 1446814077.2; 1446814085.64; 1446814085.84; 1446814086.48; 1446814112.55; cycle_1; md_step
unit.000004; 1446814075.7; 1446814077.4; 1446814117.3; 1446814117.5; 1446814118.12; 1446814236.35; cycle_1; md_step
unit.000003; 1446814075.69; 1446814077.37; 1446814113.44; 1446814113.64; 1446814114.3; 1446814221.48; cycle_1; md_step
unit.000002; 1446814075.69; 1446814077.39; 1446814115.88; 1446814116.08; 1446814116.71; 1446814231.4; cycle_1; md_step
unit.000001; 1446814075.69; 1446814077.31; 1446814102.67; 1446814102.93; 1446814103.51; 1446814179.72; cycle_1; md_step
unit.000000; 1446814075.69; 1446814077.3; 1446814102.27; 1446814102.47; 1446814103.11; 1446814178.2; cycle_1; md_step
unit.000129; 1446814075.89; 1446814077.19; 1446814085.23; 1446814085.43; 1446814086.07; 1446814111.04; cycle_1; md_step
unit.000087; 1446814075.83; 1446814077.15; 1446814077.87; 1446814078.08; 1446814078.76; 1446814086.41; cycle_1; md_step
unit.000086; 1446814075.82; 1446814077.38; 1446814114.25; 1446814114.45; 1446814115.11; 1446814224.78; cycle_1; md_step
unit.000085; 1446814075.82; 1446814077.4; 1446814116.49; 1446814116.69; 1446814117.32; 1446814233.05; cycle_1; md_step
unit.000084; 1446814075.82; 1446814077.39; 1446814116.08; 1446814116.28; 1446814116.92; 1446814231.32; cycle_1; md_step
unit.000083; 1446814075.82; 1446814077.39; 1446814115.47; 1446814115.67; 1446814116.31; 1446814229.73; cycle_1; md_step
unit.000082; 1446814075.82; 1446814077.38; 1446814114.46; 1446814114.66; 1446814115.31; 1446814225.23; cycle_1; md_step
unit.000081; 1446814075.82; 1446814077.38; 1446814113.64; 1446814113.84; 1446814114.5; 1446814222.19; cycle_1; md_step
unit.000080; 1446814075.81; 1446814077.37; 1446814113.04; 1446814113.24; 1446814113.9; 1446814219.84; cycle_1; md_step
