uid, iter, step, Scheduling, StagingInput, Allocating, Executing, PendingAgentOutputStaging, Done

unit.000046, step_2, 2015-10-09 16:43:40.197000, 2015-10-09 16:43:41.474000, 2015-10-09 16:43:41.811000, 2015-10-09 16:43:41.965000, 2015-10-09 16:44:01.667000, 2015-10-09 16:44:14.100000
unit.000047, step_2, 2015-10-09 16:43:40.200000, 2015-10-09 16:43:41.452000, 2015-10-09 16:43:41.794000, 2015-10-09 16:43:41.885000, 2015-10-09 16:44:01.356000, 2015-10-09 16:44:10.776000
unit.000048, step_2, 2015-10-09 16:43:40.203000, 2015-10-09 16:43:41.435000, 2015-10-09 16:43:41.781000, 2015-10-09 16:43:41.833000, 2015-10-09 16:44:01.350000, 2015-10-09 16:44:08.661000
unit.000049, step_2, 2015-10-09 16:43:40.207000, 2015-10-09 16:43:41.421000, 2015-10-09 16:43:41.772000, 2015-10-09 16:43:41.796000, 2015-10-09 16:44:01.350000, 2015-10-09 16:44:06.232000
unit.000050, step_2, 2015-10-09 16:43:40.211000, 2015-10-09 16:43:41.492000, 2015-10-09 16:43:41.824000, 2015-10-09 16:43:42.090000, 2015-10-09 16:44:01.668000, 2015-10-09 16:44:16.857000
unit.000051, step_2, 2015-10-09 16:43:40.215000, 2015-10-09 16:43:41.441000, 2015-10-09 16:43:41.784000, 2015-10-09 16:43:41.842000, 2015-10-09 16:44:01.355000, 2015-10-09 16:44:08.929000
unit.000052, step_2, 2015-10-09 16:43:40.218000, 2015-10-09 16:43:41.458000, 2015-10-09 16:43:41.798000, 2015-10-09 16:43:41.905000, 2015-10-09 16:44:01.352000, 2015-10-09 16:44:11.668000
unit.000053, step_2, 2015-10-09 16:43:40.221000, 2015-10-09 16:43:41.464000, 2015-10-09 16:43:41.804000, 2015-10-09 16:43:41.929000, 2015-10-09 16:44:01.352000, 2015-10-09 16:44:12.560000
unit.000054, step_2, 2015-10-09 16:43:40.225000, 2015-10-09 16:43:41.462000, 2015-10-09 16:43:41.801000, 2015-10-09 16:43:41.915000, 2015-10-09 16:44:01.355000, 2015-10-09 16:44:12.303000
unit.000055, step_2, 2015-10-09 16:43:40.230000, 2015-10-09 16:43:41.450000, 2015-10-09 16:43:41.791000, 2015-10-09 16:43:41.870000, 2015-10-09 16:44:01.351000, 2015-10-09 16:44:10.514000
unit.000056, step_2, 2015-10-09 16:43:40.233000, 2015-10-09 16:43:41.433000, 2015-10-09 16:43:41.779000, 2015-10-09 16:43:41.824000, 2015-10-09 16:44:01.046000, 2015-10-09 16:44:07.696000
unit.000057, step_2, 2015-10-09 16:43:40.237000, 2015-10-09 16:43:41.419000, 2015-10-09 16:43:41.769000, 2015-10-09 16:43:41.787000, 2015-10-09 16:44:01.458000, 2015-10-09 16:44:05.333000
unit.000058, step_2, 2015-10-09 16:43:40.240000, 2015-10-09 16:43:41.416000, 2015-10-09 16:43:41.765000, 2015-10-09 16:43:41.778000, 2015-10-09 16:44:01.046000, 2015-10-09 16:44:04.353000
unit.000059, step_2, 2015-10-09 16:43:40.244000, 2015-10-09 16:43:41.447000, 2015-10-09 16:43:41.787000, 2015-10-09 16:43:41.852000, 2015-10-09 16:44:01.047000, 2015-10-09 16:44:09.589000
unit.000060, step_2, 2015-10-09 16:43:40.245000, 2015-10-09 16:43:41.466000, 2015-10-09 16:43:41.806000, 2015-10-09 16:43:41.940000, 2015-10-09 16:44:01.357000, 2015-10-09 16:44:13.197000
unit.000061, step_2, 2015-10-09 16:43:40.251000, 2015-10-09 16:43:41.449000, 2015-10-09 16:43:41.789000, 2015-10-09 16:43:41.861000, 2015-10-09 16:44:00.242000, 2015-10-09 16:44:09.849000
unit.000062, step_2, 2015-10-09 16:43:40.253000, 2015-10-09 16:43:41.510000, 2015-10-09 16:43:41.835000, 2015-10-09 16:43:42.199000, 2015-10-09 16:44:01.668000, 2015-10-09 16:44:19.533000
unit.000063, step_2, 2015-10-09 16:43:40.260000, 2015-10-09 16:43:41.454000, 2015-10-09 16:43:41.796000, 2015-10-09 16:43:41.894000, 2015-10-09 16:44:01.048000, 2015-10-09 16:44:11.406000
